3.32537,213.222
1.39141,105.625
0.948987,67.7808
0.537775,52.7862
0.766783,42.169
0.366664,33.8908
0.428029,29.6332
0.436531,26.0189
0.364138,22.3831
0.540111,21.2737
0.369163,18.4175
0.336759,16.9964
0.226401,16.3677
0.233432,14.4089
0.300392,14.3442
0.155318,12.9245
0.165827,11.7984
0.157056,11.8446
0.241618,11.528
0.258355,10.929
0.163288,9.50703
0.114179,9.43485
0.210735,9.16862
0.161261,8.52989
0.0819066,8.47486
0.118803,8.39592
0.15516,7.35097
0.0947751,7.23048
0.0166226,6.56254
0.131548,6.96058
0.134978,6.72257
0.128518,6.53735
0.0631996,6.20174
0.12206,6.13784
0.127723,5.76606
0.0932327,5.70263
0.0352443,5.53079
0.0604032,5.62441
0.0853335,5.38076
0.114792,5.30895
0.116986,5.04017
0.0306523,4.75037
0.0877992,4.58848
0.076609,4.65303
0.0960239,4.57727
0.144869,4.44622
0.119063,4.3844
0.102601,4.13324
0.109075,4.17295
